IT Tower;Service Family;Service Type;Service Sub Type;Service Usage Type;Meter Category;Meter Sub-Category;Meter Name;Consumed Service;Unnamed: 9;Unnamed: 10
Database;Relational Database;Managed Database;Azure Database for PostgreSQL;Database Instance;Azure Database for PostgreSQL;;;Microsoft.DBforMyQL;;
Database;Relational Database;Managed Database;Azure Database for PostgreSQL;Database Instance;Azure Database for PostgreSQL;;;Microsoft.DBforPostgreSQL;;
Database;Big Data Analytics;Azure Databricks;Unified Analytics Platform;Data Analytics Workload;Azure Databricks;;%Data Analytics%;Microsoft.Databricks;;
Database;Big Data Analytics;Azure Databricks;Unified Analytics Platform;Data Engineering Workload;Azure Databricks;;%Data Engineering%;Microsoft.Databricks;;
Cloud Services;Monitoring & Management;Azure Monitor;Notifications;Webhook Notifications;Azure Monitor;Notifications;Webhook;microsoft.insights;;
Cloud Services;Monitoring & Management;Azure Monitor;Notifications;Email Notifications;Azure Monitor;Notifications;Email;microsoft.insights;;
Storage;Backup & Disaster Recovery;Azure Backup;Cloud Backup;GRS Backup Storage;Backup;Geo Redundant Storage;Standard IO - Block Blob (GB);Microsoft.RecoveryServices;;
Storage;Backup & Disaster Recovery;Azure Backup;Cloud Backup;GRS Backup Storage;Backup;;GRS Data Stored;Microsoft.RecoveryServices;;
Storage;Backup & Disaster Recovery;Azure Backup;Cloud Backup;VM Protected Instances;Backup;;%Azure VM%Protected Instances;Microsoft.RecoveryServices;;
Database;Big Data & Analytics;Azure HDInsight;Managed Hadoop/Spark;Compute Hours;Business Analytics;;Compute Hours;Microsoft.HDInsight;;
Database;Big Data & Analytics;Azure Data Factory;Data Integration;Data Movement Cloud;Business Analytics;Data Factory;Data Movement Cloud;Microsoft.DataFactory;;
Database;Big Data & Analytics;Azure Data Factory;Data Integration;Data Movement On-Premises;Business Analytics;Data Factory;Data Movement On Premises;Microsoft.DataFactory;;
Database;Big Data & Analytics;Azure Data Factory;Data Integration;High Frequency Cloud Activity;Business Analytics;Data Factory;High Frequency Cloud Activity;Microsoft.DataFactory;;
Database;Big Data & Analytics;Azure Data Factory;Data Integration;High Frequency On-Premises Activity;Business Analytics;Data Factory;High Frequency On Premises  Activity;Microsoft.DataFactory;;
Database;Big Data & Analytics;Azure Data Factory;Data Integration;Low Frequency On-Premises Activity;Business Analytics;Data Factory;Low Frequency On Premises  Activity;Microsoft.DataFactory;;
Database;Big Data & Analytics;Azure Data Factory;Data Integration;Low Frequency Cloud Activity;Business Analytics;Data Factory;Low Frequency Cloud Activity;Microsoft.DataFactory;;
Database;Big Data & Analytics;Azure Data Lake Store;Data Lake Storage;Data Storage (GB);Business Analytics;Data Lake Store;Data at Rest (GB);Microsoft.DataLakeStore;;
Database;Big Data & Analytics;Azure Data Lake Store;Data Lake Storage;Storage Transactions;Business Analytics;Data Lake Store;Transactions%;Microsoft.DataLakeStore;;
Database;Big Data & Analytics;Azure Stream Analytics;Real-time Analytics;Streaming Units (Hours);Business Analytics;Stream Analytics;Standard SU (Hours);Microsoft.StreamAnalytics;;
Database;Big Data & Analytics;Azure Stream Analytics;Real-time Analytics;Data Processed (GB);Business Analytics;Stream Analytics;Data Processed (GB);Microsoft.StreamAnalytics;;
Database;Big Data & Analytics;Azure Stream Analytics;Real-time Analytics;Streaming Units (Hours);Business Analytics;Stream Analytics;Streaming Units (Hours);Microsoft.StreamAnalytics;;
Database;Big Data & Analytics;Azure Stream Analytics;Real-time Analytics;Streaming Units (Hours);Stream Analytics;;%Streaming Unit;Microsoft.StreamAnalytics;;
Database;In-Memory Cache;Azure Redis Cache;Managed Redis;Cache Operations;Cache;Azure Redis Cache;;Microsoft.Cache;;
Database;In-Memory Cache;Azure Redis Cache;Managed Redis;Cache Instance (C Series);Redis Cache;;C%;Microsoft.Cache;;
Database;In-Memory Cache;Azure Redis Cache;Managed Redis;Cache Instance (C Series);Redis Cache;;___C%;Microsoft.Cache;;
Networking;Content Delivery;Azure CDN;Content Delivery Network;CDN Data Transfer;CDN;CDN;Standard CDN Data Transfer%;Microsoft.Cdn;;
Networking;Content Delivery;Azure CDN;Content Delivery Network;CDN Data Transfer;Content Delivery Network;Azure CDN%;%Data Transfer;Microsoft.Cdn;;
Cloud Services;Compute;Virtual Machines;Reserved Instances;License Reservation;Cloud Services;Reservation;%License;Microsoft.Batch;;
Cloud Services;Compute;Virtual Machines;A-Series (Basic/Standard);A-Series Compute Hours;Cloud Services;A%;Compute Hours;Compute;;
Cloud Services;Compute;Virtual Machines;D-Series (General Purpose);D-Series Compute Hours;Cloud Services;D%;Compute Hours;Compute;;
Cloud Services;Compute;Virtual Machines;F-Series (Compute Optimized);F-Series Compute Hours;Cloud Services;F%;Compute Hours;Compute;;
Cloud Services;Compute;Virtual Machines;G-Series (Memory Optimized);G-Series Compute Hours;Cloud Services;G%;Compute Hours;Compute;;
Cloud Services;Compute;Virtual Machines;H-Series (HPC);H-Series Compute Hours;Cloud Services;H%;Compute Hours;Compute;;
Cloud Services;Compute;Virtual Machines;N-Series (GPU);N-Series Compute Hours;Cloud Services;N%;Compute Hours;Compute;;
Cloud Services;Compute;Virtual Machines;Azure Batch;Batch Compute Hours;Cloud Services;;Compute Hours;Microsoft.Batch;;
Cloud Services;Compute;Virtual Machines;A-Series (Basic/Standard);A-Series Compute Hours;Cloud Services;A%;A%;%Compute;;
Cloud Services;Compute;Virtual Machines;D-Series (General Purpose);D-Series Compute Hours;Cloud Services;D%;D%;%Compute;;
Cloud Services;Compute;Virtual Machines;F-Series (Compute Optimized);F-Series Compute Hours;Cloud Services;F%;F%;%Compute;;
Cloud Services;Compute;Virtual Machines;G-Series (Memory Optimized);G-Series Compute Hours;Cloud Services;G%;G%;%Compute;;
Cloud Services;Compute;Virtual Machines;H-Series (HPC);H-Series Compute Hours;Cloud Services;H%;H%;%Compute;;
Cloud Services;Compute;Virtual Machines;N-Series (GPU);N-Series Compute Hours;Cloud Services;N%;N%;%Compute;;
Cloud Services;Compute;Virtual Machines;D-Series (General Purpose);D-Series Compute Hours;Cloud Services;D%;D%;Microsoft.Batch;;
